PING 129.70.141.143 (129.70.141.143) 56(84) bytes of data.
64 bytes from 129.70.141.143: icmp_seq=321 ttl=64 time=16.1 ms
64 bytes from 129.70.141.143: icmp_seq=322 ttl=64 time=14.5 ms
64 bytes from 129.70.141.143: icmp_seq=323 ttl=64 time=4.96 ms
64 bytes from 129.70.141.143: icmp_seq=324 ttl=64 time=11.8 ms
64 bytes from 129.70.141.143: icmp_seq=325 ttl=64 time=10.9 ms
64 bytes from 129.70.141.143: icmp_seq=326 ttl=64 time=16.3 ms
64 bytes from 129.70.141.143: icmp_seq=327 ttl=64 time=15.6 ms
64 bytes from 129.70.141.143: icmp_seq=328 ttl=64 time=5.63 ms
64 bytes from 129.70.141.143: icmp_seq=329 ttl=64 time=19.1 ms
64 bytes from 129.70.141.143: icmp_seq=330 ttl=64 time=19.2 ms
64 bytes from 129.70.141.143: icmp_seq=331 ttl=64 time=10.7 ms
64 bytes from 129.70.141.143: icmp_seq=332 ttl=64 time=31.4 ms
64 bytes from 129.70.141.143: icmp_seq=333 ttl=64 time=18.2 ms
64 bytes from 129.70.141.143: icmp_seq=334 ttl=64 time=17.4 ms
64 bytes from 129.70.141.143: icmp_seq=335 ttl=64 time=15.4 ms
64 bytes from 129.70.141.143: icmp_seq=336 ttl=64 time=15.2 ms
64 bytes from 129.70.141.143: icmp_seq=337 ttl=64 time=6.35 ms
64 bytes from 129.70.141.143: icmp_seq=338 ttl=64 time=21.5 ms
64 bytes from 129.70.141.143: icmp_seq=339 ttl=64 time=12.1 ms
64 bytes from 129.70.141.143: icmp_seq=340 ttl=64 time=4.28 ms
64 bytes from 129.70.141.143: icmp_seq=341 ttl=64 time=21.9 ms
64 bytes from 129.70.141.143: icmp_seq=342 ttl=64 time=11.3 ms
64 bytes from 129.70.141.143: icmp_seq=343 ttl=64 time=18.9 ms
64 bytes from 129.70.141.143: icmp_seq=344 ttl=64 time=25.9 ms
64 bytes from 129.70.141.143: icmp_seq=345 ttl=64 time=18.9 ms
64 bytes from 129.70.141.143: icmp_seq=346 ttl=64 time=19.2 ms
64 bytes from 129.70.141.143: icmp_seq=347 ttl=64 time=20.7 ms
64 bytes from 129.70.141.143: icmp_seq=348 ttl=64 time=9.63 ms
64 bytes from 129.70.141.143: icmp_seq=349 ttl=64 time=16.9 ms
