fpr,tpr,mr,filename
0.061973,0.890571,0.690522,sick_1_gmapping__particles_20_minimumScore_0.0_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_20_resolution_0.025.png
0.049410,0.934775,0.770210,sick_2_gmapping__particles_75_minimumScore_0.01_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_26_resolution_0.05.png
0.014059,0.493045,0.793893,sick_1_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.7_map_update_angle_thresh_1.3.pgm,gt_wallthickness_18_resolution_0.025.png
0.065591,0.745322,0.534344,hokuyo_1_gmapping__particles_75_minimumScore_0.0_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_15_resolution_0.05.png
0.035350,0.772359,0.770422,hokuyo_1_gmapping__particles_50_minimumScore_0.3_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_20_resolution_0.025.png
0.095883,0.825081,0.701130,hokuyo_1_gmapping__particles_75_minimumScore_0.3_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_37_resolution_0.025.png
0.087204,0.858086,0.712614,hokuyo_1_gmapping__particles_20_minimumScore_0.0_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_29_resolution_0.05.png
0.025593,0.703365,0.692812,sick_1_gmapping__particles_50_minimumScore_0.01_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_11_resolution_0.025.png
0.013163,0.567738,0.834338,sick_2_gmapping__particles_20_minimumScore_0.0_map_update_interval_5.0_delta_0.025.pgm,gt_wallthickness_18_resolution_0.025.png
0.130707,0.869766,0.638253,hokuyo_1_gmapping__particles_75_minimumScore_0.3_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_37_resolution_0.025.png
0.093678,0.886577,0.536726,sick_2_gmapping__particles_50_minimumScore_0.01_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_18_resolution_0.025.png
0.058540,0.869744,0.704804,sick_2_gmapping__particles_20_minimumScore_0.0_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_20_resolution_0.025.png
0.027635,0.773802,0.696283,sick_1_gmapping__particles_20_minimumScore_0.3_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_11_resolution_0.025.png
0.083834,0.724366,0.463335,hokuyo_1_gmapping__particles_75_minimumScore_0.01_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_15_resolution_0.05.png
0.022712,0.576430,0.819632,hokuyo_1_gmapping__particles_75_minimumScore_0.0_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_28_resolution_0.025.png
0.081528,0.862592,0.729779,hokuyo_1_gmapping__particles_20_minimumScore_0.3_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_29_resolution_0.05.png
0.051731,0.438715,0.610817,hokuyo_2_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.7_map_update_angle_thresh_0.5.pgm,gt_wallthickness_28_resolution_0.025.png
